OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Segment,Gender,AgeGroup,LoyaltyLevel,Country,State,City,Region,ProductID,ProductName,Category,SubCategory,Brand,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,ProfitMargin,PaymentMethod,ShippingMode,DeliveryDays,OrderPriority,ReturnStatus,CustomerRating,DiscountLevel,Year,Month,Quarter
ORD00011,2024-04-08,2024-04-16,CUST9154,Customer_1571,Consumer,Male,36-45,Silver,USA,California,Seattle,West,PROD838,Hoodie,Clothing,Hoodie,FreshLine,1,85.63,0.09,77.92,43.93,33.99,43.62,UPI,Standard,8,High,Not Returned,5.0,Low Discount,2024,4,2
ORD00012,2025-01-27,2025-01-30,CUST1863,Customer_743,Corporate,Male,18-25,Silver,USA,Washington,Dallas,East,PROD340,Keyboard,Electronics,Keyboard,ValuePlus,3,915.33,0.17,2279.17,1640.63,638.54,28.02,Credit Card,Same Day,3,Medium,Not Returned,4.0,Medium Discount,2025,1,1
ORD00013,2024-06-19,2024-06-23,CUST7668,Customer_1184,Consumer,Female,60+,Platinum,USA,California,New York,West,PROD938,Cereal,Grocery,Cereal,PrimeGoods,4,1090.0,0.07,4054.8,2407.07,1647.73,40.64,Cash,Same Day,4,High,Not Returned,3.0,Low Discount,2024,6,2
ORD00014,2025-10-07,2025-10-11,CUST6450,Customer_1664,Consumer,Male,18-25,Gold,USA,Texas,New York,Central,PROD605,Rice Bag,Grocery,Rice Bag,UrbanMart,3,201.85,0.28,436.0,319.52,116.48,26.72,UPI,Standard,4,Low,Returned,4.0,High Discount,2025,10,4
ORD00015,2025-09-24,2025-09-28,CUST6864,Customer_1283,Consumer,Male,36-45,Bronze,USA,Washington,Austin,South,PROD458,Monitor,Electronics,Monitor,ValuePlus,9,388.42,0.03,3390.91,1796.43,1594.48,47.02,Debit Card,Same Day,4,Medium,Not Returned,3.0,Low Discount,2025,9,3
ORD00016,2025-10-25,2025-10-31,CUST2495,Customer_1257,Corporate,Female,26-35,Bronze,USA,Texas,Miami,North,PROD791,Cooking Oil,Grocery,Cooking Oil,PrimeGoods,9,586.95,0.21,4173.21,2271.45,1901.76,45.57,Cash,Express,6,Critical,Not Returned,1.0,High Discount,2025,10,4
ORD00017,2025-01-21,2025-01-22,CUST2636,Customer_1649,Consumer,Female,36-45,Bronze,USA,California,Austin,West,PROD180,Laptop,Electronics,Laptop,FreshLine,1,312.16,0.07,290.31,201.39,88.92,30.63,Cash,Standard,1,Critical,Not Returned,3.0,Low Discount,2025,1,1
ORD00018,2024-08-12,2024-08-13,CUST6249,Customer_1077,Consumer,Female,60+,Bronze,USA,Texas,Miami,Central,PROD783,Cooking Oil,Grocery,Cooking Oil,NovaTech,1,1172.17,0.12,1031.51,476.11,555.4,53.84,Credit Card,Standard,1,Medium,Not Returned,2.0,Medium Discount,2024,8,3
ORD00019,2024-05-02,2024-05-03,CUST9958,Customer_294,Corporate,Male,26-35,Platinum,USA,Texas,Chicago,South,PROD379,Cooking Oil,Grocery,Cooking Oil,ValuePlus,6,298.05,0.2,1430.64,1025.15,405.49,28.34,PayPal,Express,1,Critical,Not Returned,5.0,Medium Discount,2024,5,2
ORD00020,2024-05-23,2024-05-24,CUST5282,Customer_1350,Consumer,Male,36-45,Bronze,USA,Texas,New York,North,PROD563,Jeans,Clothing,Jeans,FreshLine,4,1180.27,0.12,4154.55,3056.71,1097.84,26.43,UPI,Standard,1,Low,Not Returned,5.0,Medium Discount,2024,5,2
ORD00021,2025-05-25,2025-05-28,CUST3911,Customer_1735,Consumer,Male,26-35,Platinum,USA,Texas,New York,West,PROD919,Monitor,Electronics,Monitor,FreshLine,3,713.16,0.2,1711.58,780.15,931.43,54.42,UPI,Standard,3,Low,Not Returned,1.0,Medium Discount,2025,5,2
ORD00022,2025-04-17,2025-04-19,CUST6534,Customer_1322,Consumer,Female,26-35,Gold,USA,Florida,Austin,South,PROD710,Jacket,Clothing,Jacket,ValuePlus,1,483.11,0.16,405.81,301.6,104.21,25.68,PayPal,Standard,2,Low,Not Returned,4.0,Medium Discount,2025,4,2
ORD00023,2024-09-10,2024-09-15,CUST4108,Customer_1184,Home Office,Male,60+,Gold,USA,California,Seattle,East,PROD108,Laptop,Electronics,Laptop,UrbanMart,9,624.8,0.08,5173.34,4131.89,1041.45,20.13,PayPal,Express,5,Medium,Not Returned,1.0,Low Discount,2024,9,3
ORD00024,2024-02-23,2024-03-02,CUST2648,Customer_1992,Home Office,Male,60+,Gold,USA,Illinois,Dallas,West,PROD519,Hoodie,Clothing,Hoodie,PrimeGoods,3,843.43,0.25,1897.72,1422.75,474.97,25.03,Credit Card,Standard,8,Medium,Not Returned,4.0,High Discount,2024,2,1
ORD00025,2024-12-03,2024-12-05,CUST3869,Customer_1187,Consumer,Female,60+,Platinum,USA,New York,San Francisco,East,PROD819,Bookshelf,Furniture,Bookshelf,NovaTech,3,453.02,0.28,978.52,773.8,204.72,20.92,Cash,Express,2,Low,Returned,5.0,High Discount,2024,12,4
ORD00026,2025-05-18,2025-05-26,CUST2218,Customer_401,Consumer,Female,60+,Platinum,USA,Washington,Dallas,East,PROD739,Bookshelf,Furniture,Bookshelf,NovaTech,9,219.35,0.01,1954.41,1217.33,737.08,37.71,Debit Card,Same Day,8,Low,Not Returned,1.0,Low Discount,2025,5,2
ORD00027,2024-08-17,2024-08-20,CUST6895,Customer_1307,Consumer,Male,36-45,Gold,USA,Texas,Seattle,West,PROD126,Sofa,Furniture,Sofa,UrbanMart,3,767.24,0.08,2117.58,1390.1,727.48,34.35,Credit Card,Express,3,Critical,Not Returned,2.0,Low Discount,2024,8,3
ORD00028,2025-03-28,2025-03-31,CUST8683,Customer_547,Consumer,Male,46-60,Bronze,USA,California,Miami,South,PROD291,Desk,Furniture,Desk,ValuePlus,5,608.14,0.17,2523.78,1570.75,953.03,37.76,Debit Card,Express,3,Medium,Not Returned,1.0,Medium Discount,2025,3,1
ORD00029,2025-06-01,2025-06-04,CUST2060,Customer_280,Consumer,Female,26-35,Silver,USA,Florida,Seattle,South,PROD448,Mouse,Electronics,Mouse,UrbanMart,1,1193.52,0.14,1026.43,562.33,464.1,45.21,Debit Card,Standard,3,Medium,Not Returned,1.0,Medium Discount,2025,6,2
ORD00030,2024-09-09,2024-09-14,CUST3975,Customer_1185,Corporate,Female,60+,Platinum,USA,Illinois,San Francisco,Central,PROD355,T-Shirt,Clothing,T-Shirt,PrimeGoods,5,691.03,0.29,2453.16,1168.61,1284.55,52.36,Credit Card,Standard,5,High,Not Returned,3.0,High Discount,2024,9,3
ORD00031,2025-11-16,2025-11-24,CUST8455,Customer_1967,Consumer,Female,36-45,Gold,USA,Florida,New York,Central,PROD953,T-Shirt,Clothing,T-Shirt,NovaTech,2,672.59,0.28,968.53,671.78,296.75,30.64,Cash,Same Day,8,Medium,Not Returned,2.0,High Discount,2025,11,4
ORD00032,2024-09-02,2024-09-09,CUST6596,Customer_1706,Home Office,Male,36-45,Platinum,USA,Texas,Miami,South,PROD858,Rice Bag,Grocery,Rice Bag,FreshLine,2,393.84,0.25,590.76,294.09,296.67,50.22,PayPal,Same Day,7,Low,Not Returned,2.0,High Discount,2024,9,3
ORD00033,2024-02-05,2024-02-09,CUST3368,Customer_1800,Corporate,Female,36-45,Platinum,USA,Illinois,Seattle,Central,PROD611,Hoodie,Clothing,Hoodie,UrbanMart,3,314.89,0.18,774.63,370.71,403.92,52.14,Debit Card,Express,4,Critical,Not Returned,4.0,Medium Discount,2024,2,1
ORD00034,2025-12-27,2026-01-02,CUST5146,Customer_1689,Home Office,Female,46-60,Bronze,USA,New York,Seattle,West,PROD797,Table,Furniture,Table,ValuePlus,3,412.21,0.11,1100.6,531.47,569.13,51.71,UPI,Same Day,6,High,Not Returned,5.0,Medium Discount,2025,12,4
ORD00035,2024-02-23,2024-02-28,CUST4124,Customer_1596,Home Office,Female,26-35,Bronze,USA,New York,New York,Central,PROD719,Cooking Oil,Grocery,Cooking Oil,PrimeGoods,6,713.09,0.01,4235.75,1961.46,2274.29,53.69,Credit Card,Standard,5,High,Not Returned,5.0,Low Discount,2024,2,1
ORD00036,2024-02-16,2024-02-19,CUST7966,Customer_936,Consumer,Male,26-35,Platinum,USA,Washington,San Francisco,East,PROD919,Desk,Furniture,Desk,ValuePlus,7,111.56,0.02,765.3,486.71,278.59,36.4,Cash,Same Day,3,Medium,Not Returned,5.0,Low Discount,2024,2,1
ORD00037,2025-08-26,2025-09-02,CUST9932,Customer_1498,Corporate,Male,26-35,Bronze,USA,Texas,San Francisco,North,PROD216,Coffee,Grocery,Coffee,UrbanMart,2,624.4,0.1,1123.92,818.57,305.35,27.17,Debit Card,Same Day,7,Critical,Returned,1.0,Low Discount,2025,8,3
ORD00038,2024-04-05,2024-04-11,CUST1559,Customer_1625,Corporate,Male,46-60,Gold,USA,Florida,New York,Central,PROD587,Office Chair,Furniture,Office Chair,ValuePlus,5,79.25,0.27,289.26,174.95,114.31,39.52,UPI,Express,6,Medium,Not Returned,5.0,High Discount,2024,4,2
ORD00039,2025-08-03,2025-08-09,CUST8004,Customer_247,Corporate,Male,36-45,Platinum,USA,Illinois,Austin,South,PROD175,Coffee,Grocery,Coffee,ValuePlus,5,769.54,0.16,3232.07,2197.77,1034.3,32.0,Credit Card,Same Day,6,High,Not Returned,2.0,Medium Discount,2025,8,3
ORD00040,2024-03-09,2024-03-10,CUST3141,Customer_1774,Home Office,Male,26-35,Silver,USA,California,Chicago,West,PROD552,Jacket,Clothing,Jacket,UrbanMart,3,911.84,0.0,2735.52,1342.12,1393.4,50.94,Credit Card,Express,1,Critical,Not Returned,4.0,Low Discount,2024,3,1
ORD00041,2024-01-23,2024-01-29,CUST3849,Customer_1204,Consumer,Male,46-60,Platinum,USA,Washington,Miami,East,PROD322,Coffee,Grocery,Coffee,FreshLine,5,573.43,0.05,2723.79,1639.31,1084.48,39.82,Cash,Express,6,Low,Not Returned,2.0,Low Discount,2024,1,1
ORD00042,2025-05-30,2025-06-07,CUST9527,Customer_1783,Corporate,Male,46-60,Silver,USA,New York,Chicago,North,PROD357,Shoes,Clothing,Shoes,NovaTech,3,608.73,0.26,1351.38,919.67,431.71,31.95,Cash,Express,8,Critical,Not Returned,1.0,High Discount,2025,5,2
ORD00043,2025-11-21,2025-11-26,CUST6387,Customer_1859,Home Office,Male,46-60,Bronze,USA,Texas,Miami,North,PROD676,Cooking Oil,Grocery,Cooking Oil,UrbanMart,4,694.81,0.12,2445.73,1651.24,794.49,32.48,Cash,Standard,5,Low,Not Returned,1.0,Medium Discount,2025,11,4
ORD00044,2025-08-29,2025-08-31,CUST9945,Customer_35,Corporate,Female,36-45,Platinum,USA,New York,San Francisco,North,PROD826,Jeans,Clothing,Jeans,PrimeGoods,8,1087.37,0.06,8177.02,3878.17,4298.85,52.57,Credit Card,Express,2,Low,Not Returned,1.0,Low Discount,2025,8,3
ORD00045,2024-04-24,2024-05-03,CUST4974,Customer_1220,Consumer,Male,18-25,Bronze,USA,California,Austin,East,PROD925,Keyboard,Electronics,Keyboard,FreshLine,8,468.62,0.2,2999.17,1707.18,1291.99,43.08,Debit Card,Standard,9,Medium,Not Returned,5.0,Medium Discount,2024,4,2
ORD00046,2024-10-03,2024-10-12,CUST9867,Customer_1418,Consumer,Female,36-45,Gold,USA,California,New York,Central,PROD968,Headphones,Electronics,Headphones,NovaTech,2,758.44,0.26,1122.49,793.91,328.58,29.27,Debit Card,Express,9,Low,Not Returned,1.0,High Discount,2024,10,4
ORD00047,2024-04-05,2024-04-13,CUST7806,Customer_1214,Home Office,Female,46-60,Silver,USA,Texas,New York,West,PROD835,Hoodie,Clothing,Hoodie,NovaTech,8,970.13,0.3,5432.73,3229.3,2203.43,40.56,PayPal,Same Day,8,Low,Not Returned,5.0,High Discount,2024,4,2
ORD00048,2024-09-29,2024-09-30,CUST9787,Customer_1904,Home Office,Female,36-45,Bronze,USA,Washington,Miami,South,PROD828,Keyboard,Electronics,Keyboard,NovaTech,1,819.02,0.22,638.84,340.75,298.09,46.66,Cash,Express,1,Low,Not Returned,5.0,High Discount,2024,9,3
ORD00049,2024-03-16,2024-03-25,CUST3502,Customer_1820,Home Office,Male,46-60,Silver,USA,Illinois,New York,South,PROD817,Shoes,Clothing,Shoes,FreshLine,3,473.15,0.0,1419.45,1088.55,330.9,23.31,UPI,Express,9,Critical,Not Returned,4.0,Low Discount,2024,3,1
ORD00050,2025-01-30,2025-02-08,CUST6588,Customer_1508,Consumer,Male,36-45,Platinum,USA,California,San Francisco,North,PROD664,Jacket,Clothing,Jacket,FreshLine,3,596.7,0.02,1754.3,845.74,908.56,51.79,UPI,Same Day,9,Critical,Not Returned,1.0,Low Discount,2025,1,1
ORD00051,2024-08-10,2024-08-15,CUST8330,Customer_1239,Consumer,Female,26-35,Gold,USA,New York,Seattle,South,PROD832,Snacks,Grocery,Snacks,FreshLine,7,118.54,0.15,705.31,331.6,373.71,52.99,PayPal,Same Day,5,Low,Not Returned,3.0,Medium Discount,2024,8,3
ORD00052,2024-09-09,2024-09-15,CUST2542,Customer_1198,Consumer,Female,46-60,Silver,USA,Illinois,Chicago,North,PROD752,Office Chair,Furniture,Office Chair,ValuePlus,2,1162.7,0.21,1837.07,1364.83,472.24,25.71,Credit Card,Standard,6,High,Not Returned,3.0,High Discount,2024,9,3
ORD00053,2024-06-13,2024-06-19,CUST2365,Customer_500,Home Office,Female,46-60,Gold,USA,Florida,Miami,Central,PROD756,Bookshelf,Furniture,Bookshelf,PrimeGoods,9,988.01,0.21,7024.75,3361.15,3663.6,52.15,PayPal,Same Day,6,Critical,Not Returned,3.0,High Discount,2024,6,2
ORD00054,2024-06-30,2024-07-07,CUST5186,Customer_714,Consumer,Male,36-45,Bronze,USA,Illinois,New York,West,PROD957,Jeans,Clothing,Jeans,UrbanMart,4,426.76,0.21,1348.56,834.2,514.36,38.14,Debit Card,Same Day,7,Critical,Not Returned,3.0,High Discount,2024,6,2
ORD00055,2025-09-29,2025-10-03,CUST7619,Customer_456,Consumer,Female,26-35,Gold,USA,California,Seattle,East,PROD928,T-Shirt,Clothing,T-Shirt,FreshLine,7,527.0,0.08,3393.88,2008.57,1385.31,40.82,Debit Card,Express,4,Low,Not Returned,3.0,Low Discount,2025,9,3
ORD00056,2024-07-09,2024-07-10,CUST8576,Customer_824,Home Office,Female,18-25,Bronze,USA,Washington,Seattle,North,PROD216,Jeans,Clothing,Jeans,ValuePlus,7,897.79,0.18,5153.31,4054.42,1098.89,21.32,Cash,Express,1,Medium,Not Returned,3.0,Medium Discount,2024,7,3
ORD00057,2025-11-06,2025-11-09,CUST7190,Customer_1257,Consumer,Male,46-60,Platinum,USA,Texas,New York,East,PROD404,Shoes,Clothing,Shoes,UrbanMart,5,61.65,0.28,221.94,171.27,50.67,22.83,Debit Card,Same Day,3,High,Returned,3.0,High Discount,2025,11,4
ORD00058,2024-01-12,2024-01-20,CUST9549,Customer_972,Home Office,Female,60+,Silver,USA,Washington,Chicago,North,PROD507,Office Chair,Furniture,Office Chair,ValuePlus,5,839.34,0.12,3693.1,2614.66,1078.44,29.2,PayPal,Same Day,8,Critical,Not Returned,3.0,Medium Discount,2024,1,1
ORD00059,2025-11-28,2025-11-30,CUST1539,Customer_732,Home Office,Male,26-35,Silver,USA,New York,Miami,East,PROD968,Headphones,Electronics,Headphones,UrbanMart,5,340.08,0.06,1598.38,978.68,619.7,38.77,Debit Card,Standard,2,Low,Not Returned,3.0,Low Discount,2025,11,4
ORD00060,2025-12-24,2025-12-27,CUST4324,Customer_390,Home Office,Female,36-45,Bronze,USA,California,Seattle,South,PROD693,Coffee,Grocery,Coffee,ValuePlus,4,1183.59,0.21,3740.14,2384.84,1355.3,36.24,Credit Card,Same Day,3,Medium,Not Returned,3.0,High Discount,2025,12,4
ORD00061,2024-08-29,2024-09-03,CUST2015,Customer_1825,Consumer,Male,26-35,Gold,USA,California,Dallas,East,PROD473,Sofa,Furniture,Sofa,UrbanMart,5,739.96,0.13,3218.83,2499.28,719.55,22.35,PayPal,Same Day,5,High,Not Returned,3.0,Medium Discount,2024,8,3
ORD00062,2024-03-03,2024-03-12,CUST4925,Customer_827,Home Office,Female,36-45,Platinum,USA,Florida,Dallas,Central,PROD894,Snacks,Grocery,Snacks,NovaTech,2,1184.86,0.05,2251.23,1481.19,770.04,34.21,Cash,Same Day,9,High,Not Returned,3.0,Low Discount,2024,3,1
ORD00063,2025-06-01,2025-06-02,CUST6989,Customer_771,Consumer,Male,36-45,Bronze,USA,California,Chicago,Central,PROD536,Laptop,Electronics,Laptop,ValuePlus,1,567.74,0.12,499.61,272.63,226.98,45.43,PayPal,Standard,1,Critical,Not Returned,3.0,Medium Discount,2025,6,2
ORD00064,2024-03-18,2024-03-27,CUST6997,Customer_1,Corporate,Female,46-60,Gold,USA,New York,Miami,East,PROD150,Rice Bag,Grocery,Rice Bag,UrbanMart,5,1134.27,0.25,4253.51,2282.31,1971.2,46.34,PayPal,Express,9,Critical,Not Returned,3.0,High Discount,2024,3,1
ORD00065,2024-12-13,2024-12-21,CUST1249,Customer_674,Consumer,Female,18-25,Gold,USA,New York,Seattle,East,PROD537,Cereal,Grocery,Cereal,ValuePlus,4,282.08,0.2,902.66,601.48,301.18,33.37,UPI,Standard,8,Critical,Not Returned,3.0,Medium Discount,2024,12,4
ORD00066,2025-02-04,2025-02-11,CUST2252,Customer_853,Corporate,Female,46-60,Bronze,USA,California,Seattle,Central,PROD677,Table,Furniture,Table,UrbanMart,2,1024.1,0.17,1700.01,1098.76,601.25,35.37,PayPal,Express,7,Critical,Not Returned,3.0,Medium Discount,2025,2,1
ORD00067,2024-11-01,2024-11-03,CUST9017,Customer_798,Corporate,Male,60+,Platinum,USA,Texas,Austin,East,PROD434,Desk,Furniture,Desk,ValuePlus,3,1084.75,0.19,2635.94,2090.73,545.21,20.68,Credit Card,Same Day,2,Medium,Not Returned,3.0,Medium Discount,2024,11,4
ORD00068,2024-11-30,2024-12-07,CUST4177,Customer_1587,Home Office,Female,46-60,Platinum,USA,Florida,Austin,North,PROD180,Hoodie,Clothing,Hoodie,FreshLine,3,1085.95,0.1,2932.07,1846.9,1085.17,37.01,Debit Card,Express,7,Medium,Not Returned,3.0,Low Discount,2024,11,4
ORD00069,2024-03-09,2024-03-11,CUST8941,Customer_53,Corporate,Female,36-45,Gold,USA,Texas,Seattle,South,PROD549,Office Chair,Furniture,Office Chair,FreshLine,4,556.62,0.25,1669.86,1200.83,469.03,28.09,UPI,Same Day,2,Critical,Not Returned,3.0,High Discount,2024,3,1
ORD00070,2025-01-08,2025-01-16,CUST9472,Customer_1219,Corporate,Female,36-45,Platinum,USA,Florida,Seattle,West,PROD963,Cereal,Grocery,Cereal,UrbanMart,3,649.34,0.14,1675.3,1096.77,578.53,34.53,UPI,Express,8,Medium,Not Returned,3.0,Medium Discount,2025,1,1
ORD00071,2025-04-10,2025-04-16,CUST7981,Customer_1537,Corporate,Female,46-60,Platinum,USA,Illinois,San Francisco,West,PROD744,Rice Bag,Grocery,Rice Bag,ValuePlus,2,726.3,0.07,1350.92,996.47,354.45,26.24,Credit Card,Standard,6,High,Not Returned,3.0,Low Discount,2025,4,2
ORD00072,2024-09-05,2024-09-14,CUST7493,Customer_107,Home Office,Female,18-25,Silver,USA,Florida,San Francisco,West,PROD930,Rice Bag,Grocery,Rice Bag,NovaTech,2,163.21,0.1,293.78,165.27,128.51,43.74,Cash,Express,9,High,Not Returned,3.0,Low Discount,2024,9,3
ORD00073,2024-09-09,2024-09-13,CUST1302,Customer_639,Corporate,Female,36-45,Platinum,USA,Washington,Dallas,Central,PROD155,Rice Bag,Grocery,Rice Bag,NovaTech,1,339.48,0.24,258.0,183.67,74.33,28.81,Debit Card,Same Day,4,High,Not Returned,3.0,High Discount,2024,9,3
ORD00074,2025-11-29,2025-12-07,CUST6126,Customer_1027,Consumer,Male,46-60,Silver,USA,Illinois,Seattle,East,PROD722,Mouse,Electronics,Mouse,NovaTech,7,642.21,0.22,3506.47,1654.42,1852.05,52.82,PayPal,Standard,8,High,Not Returned,3.0,High Discount,2025,11,4
ORD00075,2025-09-22,2025-09-27,CUST9905,Customer_1063,Consumer,Female,60+,Silver,USA,California,Austin,East,PROD372,Cooking Oil,Grocery,Cooking Oil,FreshLine,2,542.42,0.16,911.27,487.41,423.86,46.51,Cash,Same Day,5,Medium,Not Returned,3.0,Medium Discount,2025,9,3
ORD00076,2024-03-07,2024-03-16,CUST7371,Customer_111,Corporate,Female,46-60,Gold,USA,Illinois,Dallas,North,PROD569,Desk,Furniture,Desk,PrimeGoods,9,1069.73,0.18,7894.61,5429.01,2465.6,31.23,UPI,Standard,9,Low,Not Returned,3.0,Medium Discount,2024,3,1
ORD00077,2025-09-04,2025-09-10,CUST3739,Customer_1306,Corporate,Female,36-45,Platinum,USA,New York,Austin,North,PROD419,Hoodie,Clothing,Hoodie,ValuePlus,8,707.98,0.17,4700.99,2738.66,1962.33,41.74,Credit Card,Standard,6,Critical,Not Returned,3.0,Medium Discount,2025,9,3
ORD00078,2025-03-12,2025-03-18,CUST2733,Customer_1606,Consumer,Female,36-45,Bronze,USA,Washington,San Francisco,East,PROD602,Jacket,Clothing,Jacket,FreshLine,8,602.91,0.1,4340.95,3372.02,968.93,22.32,Cash,Express,6,Medium,Not Returned,3.0,Low Discount,2025,3,1
ORD00079,2024-02-09,2024-02-14,CUST6342,Customer_6,Home Office,Male,60+,Gold,USA,Illinois,San Francisco,West,PROD421,Jeans,Clothing,Jeans,NovaTech,8,1077.15,0.02,8444.86,5350.49,3094.37,36.64,Credit Card,Express,5,Critical,Returned,3.0,Low Discount,2024,2,1
ORD00080,2025-07-27,2025-08-05,CUST5289,Customer_847,Consumer,Female,36-45,Platinum,USA,California,Austin,West,PROD814,Jeans,Clothing,Jeans,FreshLine,4,16.31,0.29,46.32,28.8,17.52,37.82,PayPal,Same Day,9,High,Not Returned,3.0,High Discount,2025,7,3
ORD00081,2025-12-24,2025-12-25,CUST5208,Customer_140,Corporate,Female,18-25,Platinum,USA,Texas,Austin,West,PROD658,Shoes,Clothing,Shoes,ValuePlus,3,1007.91,0.06,2842.31,2242.01,600.3,21.12,UPI,Express,1,Low,Not Returned,3.0,Low Discount,2025,12,4
ORD00082,2024-09-15,2024-09-16,CUST1009,Customer_261,Home Office,Male,46-60,Gold,USA,Illinois,Miami,South,PROD749,Keyboard,Electronics,Keyboard,FreshLine,6,701.67,0.05,3999.52,2473.3,1526.22,38.16,Cash,Same Day,1,High,Returned,4.0,Low Discount,2024,9,3
ORD00083,2025-09-04,2025-09-13,CUST3832,Customer_777,Consumer,Female,60+,Silver,USA,Illinois,Dallas,North,PROD649,Sofa,Furniture,Sofa,PrimeGoods,2,393.6,0.24,598.27,322.54,275.73,46.09,Cash,Standard,9,Medium,Returned,3.0,High Discount,2025,9,3
ORD00084,2025-01-10,2025-01-19,CUST3635,Customer_1571,Corporate,Male,18-25,Silver,USA,Washington,Austin,North,PROD612,Keyboard,Electronics,Keyboard,ValuePlus,1,1022.37,0.22,797.45,472.87,324.58,40.7,PayPal,Same Day,9,Critical,Not Returned,4.0,High Discount,2025,1,1
ORD00085,2024-10-17,2024-10-22,CUST3898,Customer_1403,Home Office,Male,46-60,Platinum,USA,New York,Dallas,South,PROD177,Sofa,Furniture,Sofa,UrbanMart,8,995.25,0.23,6130.74,4474.45,1656.29,27.02,Cash,Express,5,Medium,Not Returned,2.0,High Discount,2024,10,4
ORD00086,2024-10-21,2024-10-29,CUST7943,Customer_1715,Home Office,Female,18-25,Platinum,USA,New York,Austin,East,PROD736,Keyboard,Electronics,Keyboard,ValuePlus,4,386.27,0.18,1266.97,873.0,393.97,31.1,Credit Card,Same Day,8,Medium,Not Returned,1.0,Medium Discount,2024,10,4
ORD00087,2025-05-17,2025-05-19,CUST2997,Customer_821,Corporate,Male,26-35,Silver,USA,Texas,San Francisco,Central,PROD715,Laptop,Electronics,Laptop,UrbanMart,7,532.11,0.17,3091.56,1775.72,1315.84,42.56,UPI,Standard,2,Medium,Not Returned,3.0,Medium Discount,2025,5,2
